QUESTION,ANSWER_CHOICE,Q_UNDERGOER,A_UNDERGOER,UNDERGOER_SCORE,Q_ENABLER,A_ENABLER,ENABLER_SCORE,Q_TRIGGER,A_TRIGGER,TRIGGER_SCORE,Q_RESULT,A_RESULT,RESULT_SCORE,Q_UNDERSPECIFIED,A_UNDERSPECIFIED,UNDERSPECIFIED_SCORE,CORRECT_ANSWER,PREDICTED_ANSWER,PREDICTION
Waves change a shoreline by erosion and __________.,deposition,Waves,a variety of different metals | a witness 's testimony,0.0000,,"the increase of shear rate in the low - permeability rocks , which accelerates the deposition process | expression level of callose synthases or by activation of the latent enzymes | two pollutants that are released into the atmosphere , or emitted , when these | to the ground in the form of dust , raindrops or just by gravity | in rain or snow | two pollutants that are released into the atmosphere when fossil fuels are burned | some modification of lp | in water | a combination of nitric and sulfuric acids produced in the atmosphere from pollutants released by fossil fuel burning as well as | a solid without going through the liquid state of matter | in porous soil and radon gas escapes into the atmosphere at a rate directly proportional to uncovered land masses | incorporation of sox | mixing of these fluids | the amount of glacial activity | a process involving the exchange of three electrons | the random movement of the aerosols in the air stream | in rain , snow , or ice | and the valley fills with a veneer of | heat | transport of inclusions | lack of other regulators of c3 | great values of its electrochemical equivalent | near absence of collagen telopeptide hydroxylation | in a new place | fragmentation of precursor molecules , or a reaction between the adsorbed molecules | a plume of acid gases that is released by a shallow magma body located beneath the active crater of pos | precipitation amounts and surface characteristics | by secondary electrons | the marsh surface | a nozzle | in combination with precipitation | eruption magnitude | secretion of collagen | boiling of the ore fluid as it approaches the paleosurface and/or by fluid mixing",,change,information | estimation | applying | ability | taking | rule | portion | future | incorporated | net | law | temperature,0.4628,,"chemical composition inhomogeneity of the amorphous phase . | offset this effect by moving more n atoms outside the streamer region | focus in on more probable scenarios | highly different amounts of particles to penetrate into the lower airways | uncover truthful answers to questions that may not have been fully | eliminate grease , oil and humidity retained on the steel surface by burning and/or . | less damage than does natural rain , and any damage caused by acid deposition occurs over a very long time . | blockage or rupture of blood vessels of the brain | out-of-plane distortion -lrb- i.e. | a decline of intra - and extraradical abundance of arbuscular mycorrhizal fungi and changes in microbial community ... | eutrophication -lrb- nutrient enrichment -rrb- of the forest ecosystem , with the result that organisms adapted to a severe nitrogen limitation ... | metastable structures . | liver damage | promote a strong nife -lrb- 111 -rrb- texture which leads to a similar enhancement in the nimn -lrb- 111 -rrb- peak intensity for the aforementioned | a decline of intra | radial growth of fibre cells in the maturation zone of elongating tall fescue leaf blades . | non homogeneous distribution of these parts on the substrate . | displacement of salt vertically and horizontally | elucidate changes in beach and nearshore geomorphology in response to different | water | dissociation of the inp bonds , while covering the surface with a continuous layer of | synthesize better quality copper nanostructures in the pore channels of | metals , some of them toxic , to leach out of the soil and accumulate in water and in the food chain . | synthesize better quality copper nanostructures in | identify the sand type | avoid unwanted local side effects | avoid micro loading effects , which locally influences the deposition rate and the ge content | eliminate schottky barrier of the contacts | rough surface , which is hard to bond by room temperature bonding . | promote adhesion of the sputtered film to the substrate during pcb",,,,,deposition,evaporation,FALSE
Waves change a shoreline by erosion and __________.,condensation,Waves,,,,"excessive moisture in the house | what | condensation | element depletion from | a conserved current associated with the bosons | the opening of spin density wave -lrb- sdw -rrb- gap | things you do in your day | the release of latent heat as shown in | repeated heating and cooling cycles | basic catalysis of the reaction mixture | replacement of the bridge chlorine atoms by a co | rh reaching 100 % -rrb- or carbon | the enzyme | cooling | forced ventilation with air of a dew-point temperature higher than the temperature of the tubers | which | into contact with cool surfaces , such as glass | wet air -lrb- inside of girders -rrb- | to the point where the relative humidity is approximately",,change,context | union | base | key | tenant | quantity,0.0278,,more damage than inside condensation and not many people know about it . | alleviate this problem by shortening the effective length of the chromosome | make the spirit smooth | helps to ...,,,gas |liquid | a vapor |a liquid | a gas |a liquid | a vapour |a liquid,,deposition,evaporation,FALSE
Waves change a shoreline by erosion and __________.,precipitation,Waves,solid particles,0.0000,,"the nature of the clouds , which tend to be convective , bringing brief periods of heavy | added ca | that the air can not hold it anymore | atmospheric moisture | reduction in water activity | environment | its incorporation into the antigen-antibody complex | many processes that occur over a wide range of | which | that the air ca n't hold it anymore | a volume uptake coefficient larger than 10 mol m3 pa1 | the anaerobic fermentation of volatile fatty acids -lrb- vfas -rrb- , which adds carbonate to and raises the ph of the leachate | a combination of different processes causing | by the earth 's warm surface | saturated with moisture , and the condensation of water vapour leads to water droplets that fall to the | the literature | the | dye to arabic acid | micro-physical processes which involve air motion within the cloud | saturated with water vapor | oceanic circulation and the rain shadow effect | the western disturbances which are | dilution | either in the",,change,temperature | reference | amount | creation | primary | rain | general | separating | deposition | site | difference,0.0625,,"the protein to fall out of solution , at which time the interfering buffer can be removed and the protein resolubilized . | solve these problems | provide better tree health for the large energy demand during fertilization , cone enlargement , and seed ripening the following year | support many types of plants | predict the occurrences of | the glaciers to | save nad + required for complete removal of aldehyde from the soybean protein by aldehyde dehydrogenase | create this country '' `` s many rivers , some of which are prone to flooding , and besides this | provide an improved initial condition for ensemble forecasting in which convection can develop in accordance with the observations | generate sliding in glacial lakebed terrace deposits",,,the atmosphere |the ground,,deposition,evaporation,FALSE
Waves change a shoreline by erosion and __________.,evaporation,Waves,a material,0.0000,,"at the saturation condition and the heat provided by the wall | the temperature of the waste | , a complete reversal of the other situ - ations | rapid warming of the particles which are either sedimenting and/or are blown downward | in a dry , sealed bottle | the inlet of hot gases -lrb- dispersed phase -rrb- | the capillary rise of groundwater into the evaporation-influenced soil zone | which | at a depth of 1/7 | and the tiny droplets of liquid are converted into vapor | warm enough that they turn into vapours and leave the cup and escape into the air | temperatures well in excess of melt temperature of the powder particles -lrb- gao | in the discharge tube and the the basic substances has a boiling point above latter may be | the diffusion of vapour | transport of heat from the soil surface into the soil profile | a longer residing time of particle inside the plasma | an increased energy present and occurs rapidly | the kinetic isotope effect | microscopic processes just outside the '' `` horizon | high dust temperature | out overnight and the water level is found to drop",,change,confusion | energy | governing | evaporation | reason | heating up,1.0000,,keep the planet 's temperature stable | cooling evaporation | concentrate a non-volatile solute from a solvent by | cooling 2 | create weather outdoors | the water 's salt content to increase | contrary to popular belief | helps to ... | forget suboptimal solutions that gathered enough | maintain body temperature | mainly a water deficit,,,a liquid |a gas -lrb- vapor -rrb- | liquid |vapour | a liquid |a gas | soil and/or plant surfaces |the atmosphere | liquid form to vapor form -lrb- evaporation -rrb- |vapor form -lrb- evaporation -rrb- | solution | liquid |gas | its liquid form to its vapor form |its vapor form | a liquid to a vapour phase at |a vapour phase at | a solution to produce | liquid |water vapor | a liquid to a gas |a gas | a liquid | liquid to gas |gas | liquid to gaseous state |gaseous state,,deposition,evaporation,FALSE
"<span class=""blank""> </span>is the process of liquid water turning into water vapor. ",precipitation,,solid particles,,,"the nature of the clouds , which tend to be convective , bringing brief periods of heavy | added ca | that the air can not hold it anymore | atmospheric moisture | reduction in water activity | environment | its incorporation into the antigen-antibody complex | many processes that occur over a wide range of | which | that the air ca n't hold it anymore | a volume uptake coefficient larger than 10 mol m3 pa1 | the anaerobic fermentation of volatile fatty acids -lrb- vfas -rrb- , which adds carbonate to and raises the ph of the leachate | a combination of different processes causing | by the earth 's warm surface | saturated with moisture , and the condensation of water vapour leads to water droplets that fall to the | the literature | the | dye to arabic acid | micro-physical processes which involve air motion within the cloud | saturated with water vapor | oceanic circulation and the rain shadow effect | the western disturbances which are | dilution | either in the",,turning,temperature | reference | amount | creation | primary | rain | general | separating | deposition | site | difference,0.0142,water vapor,"the protein to fall out of solution , at which time the interfering buffer can be removed and the protein resolubilized . | solve these problems | provide better tree health for the large energy demand during fertilization , cone enlargement , and seed ripening the following year | support many types of plants | predict the occurrences of | the glaciers to | save nad + required for complete removal of aldehyde from the soybean protein by aldehyde dehydrogenase | create this country '' `` s many rivers , some of which are prone to flooding , and besides this | provide an improved initial condition for ensemble forecasting in which convection can develop in accordance with the observations | generate sliding in glacial lakebed terrace deposits",0.1932,,the atmosphere |the ground,,evaporation,evaporation,TRUE
"<span class=""blank""> </span>is the process of liquid water turning into water vapor. ",condensation,,,,,"excessive moisture in the house | what | condensation | element depletion from | a conserved current associated with the bosons | the opening of spin density wave -lrb- sdw -rrb- gap | things you do in your day | the release of latent heat as shown in | repeated heating and cooling cycles | basic catalysis of the reaction mixture | replacement of the bridge chlorine atoms by a co | rh reaching 100 % -rrb- or carbon | the enzyme | cooling | forced ventilation with air of a dew-point temperature higher than the temperature of the tubers | which | into contact with cool surfaces , such as glass | wet air -lrb- inside of girders -rrb- | to the point where the relative humidity is approximately",,turning,context | union | base | key | tenant | quantity,0.0000,water vapor,more damage than inside condensation and not many people know about it . | alleviate this problem by shortening the effective length of the chromosome | make the spirit smooth | helps to ...,0.0000,,gas |liquid | a vapor |a liquid | a gas |a liquid | a vapour |a liquid,,evaporation,evaporation,TRUE
"<span class=""blank""> </span>is the process of liquid water turning into water vapor. ",storage,,binary data | an organization 's data storage requirements to an outside managed service provider | something,,,"vesicles aggregations , fusion and leaking | molds and insects | two closely related filamentous fungal plant pathogens | an expectation that the returns to storage , net of the time value of money and physical storage costs , are positive | -lrb- diffused -rrb- over a nine square | biochemical processes , such as respiration or oxidation | an expectation that the returns to storage , net of the time value of money and physical storage ... | small pockets of slow moving water -lrb- a -rrb- and | the hydraulic gradient between surface water and groundwater | or receives from off-site a dangerous waste that is then placed into on-site permitted storage during the | old and improper storage containers and facilities that allow concentrated levels of | having a moving liquid level in a wellbore , or by simply having a volume of compressible fluid stored in the wellbore | absorption as well to adsorption | wilting , yellowing of buds and leaves | a labile metabolite of s-mephenytoin , which is excreted in urine of ems but not of pms -lsb- 7 -rsb- | food spoilage | formation of a double electric layer | water loss | mismeasurement | surface type , slope and antecedent rainfall conditions | to have your shipment placed into a mini-storage -lrb- self-storage -rrb- warehouse instead of storing it in your mover 's | leaching , which refers to the dissolving and removal of nutrients by the passage of rain water over the surface of , and . | chemically and irreversibly to the surrounding rock | pseudomonas sp and alteromanas putrefaciens irrespective of the original bacterial flora | minority carriers which follow in direct paths in the semiconductor material and so are | different methods | improper storage | and presented as a single storage device | reservoirs at different elevations | type of containers used and temperature of storage | defective lysosomal transporters | formation of protein aggregates | within the storage site | information into mental pictures in the right hemisphere of the brain | the bacteria erwinia caratovora | implosion due to a pressure decit within the storage | de novo synthesis of anthocyanins , whose level increased exactly at the same time in | many different loads , where those caused by temperature are of the greatest significance : d dpressure | several factors | to those in brain | a variation of the three-phase structure , including progressive crystallization and vitrification of the rigid amorphous fraction | up substrate and store it in the form of polymers -lrb- commonly poly-b-hydrox - yalkanoates and ... | surface oxidation | microorganisms | water exchange between the internal and external atmos - phere , the transpiration rate being acceler - ated by cellular breakdown -lsb- 19 -rsb- | the slowing of the person 's metabolism as a result of the infection | many factors and the most important factor | an inher - ent defect of the enzyme cerebroside sulphatase - that is , arylsulphatase a -lrb- mehl and jatzkewitz , . | the oxidation of polyphenols in beer | the material properties , capacity of storage , operating temperature , heat transfer fluid | electrolyte oxidation or shuttle-type | c outputs from decomposition , leaching or erosion -lrb- jobbagy",,turning,search | cause | goal | offloading | essence | receipt | storage | keeping | current | second | converted | technology | encoding | software,0.0000,water vapor,"hazardous situations as it is easy to trip over kick-scooters and/or bicycles , or drive over them with a car . | difficult pouring : when improperly stored at ambient temperature , kegs of draught beer will warm quickly and become difficult to pour in ... | solve multiple problems | a format that can be used to support both data publication and analysis , including | fulfill these requirements by offering three copy services premium features | transcend these challenges | store your capsules easily | data corruption . | manage temporary supply chain disruptions and lng transit times | joint stiffening and swelling and complex skeletal deformities known as dysostosis multiplex . | protect it and makes retrieving it later much easier | a severe suppression in the voltage of the foam positive electrode . | obtain or raise loans by providing collateral security of the goods stored | address renewable energy intermittency | to the | organize hand tools , parts , power tools , etc. | maintain a satisfactory level of service as demand varies with the time of day , to ensure continued service during | address many of the performance issues associated with virtualized data centers | keep coins from degrading in quality or picking up marks or damage | ensure that a configuration item will not disappear or be damaged | ensure uninterrupted recording of mission-critical audio and video | preserve your boat 's finishes | achieve numerous benefits of server virtualization | preserve the quality and nutritional value of the foods you purchase | address this issue | put produces in a suitable environment to maintain the freshness and to extend the duration of its availability | serve as a reservoir to handle constant , sudden or unusually high demands for air/gas that can exceed the capacity of the | sedentism . | ensure a constant supply of needed goods any food or ingredient removed from its | minimize daytime noise pollution | helps to even out fluctuations in market supply , both from one season to the next and from one year to the next , by taking produce off the market in ... | prevent these damages from happening",0.0027,,local drives |other,,evaporation,evaporation,TRUE
"<span class=""blank""> </span>is the process of liquid water turning into water vapor. ",evaporation,,a material,,,"at the saturation condition and the heat provided by the wall | the temperature of the waste | , a complete reversal of the other situ - ations | rapid warming of the particles which are either sedimenting and/or are blown downward | in a dry , sealed bottle | the inlet of hot gases -lrb- dispersed phase -rrb- | the capillary rise of groundwater into the evaporation-influenced soil zone | which | at a depth of 1/7 | and the tiny droplets of liquid are converted into vapor | warm enough that they turn into vapours and leave the cup and escape into the air | temperatures well in excess of melt temperature of the powder particles -lrb- gao | in the discharge tube and the the basic substances has a boiling point above latter may be | the diffusion of vapour | transport of heat from the soil surface into the soil profile | a longer residing time of particle inside the plasma | an increased energy present and occurs rapidly | the kinetic isotope effect | microscopic processes just outside the '' `` horizon | high dust temperature | out overnight and the water level is found to drop",,turning,confusion | energy | governing | evaporation | reason | heating up,0.2500,water vapor,keep the planet 's temperature stable | cooling evaporation | concentrate a non-volatile solute from a solvent by | cooling 2 | create weather outdoors | the water 's salt content to increase | contrary to popular belief | helps to ... | forget suboptimal solutions that gathered enough | maintain body temperature | mainly a water deficit,0.2045,,a liquid |a gas -lrb- vapor -rrb- | liquid |vapour | a liquid |a gas | soil and/or plant surfaces |the atmosphere | liquid form to vapor form -lrb- evaporation -rrb- |vapor form -lrb- evaporation -rrb- | solution | liquid |gas | its liquid form to its vapor form |its vapor form | a liquid to a vapour phase at |a vapour phase at | a solution to produce | liquid |water vapor | a liquid to a gas |a gas | a liquid | liquid to gas |gas | liquid to gaseous state |gaseous state,,evaporation,evaporation,TRUE
A new aluminum can made from used cans is an example of,reducing,new aluminum,,,,investment in certain systems or processes | management | that | or larger | it | economic growth | rural growth | more targeted care | customer education and buy ~,,made,,,cans,concentrate the flavors of the liquid and to increase its viscosity,0.0000,,,,recycling,recycling,TRUE
A new aluminum can made from used cans is an example of,repairing,new aluminum,,,,,,made,,,cans,"return used products to working order by fixing and/or replacing broken parts , whereas the quality is usually less than the quality of | bring the system back to operation as soon as possible | remove all the consequences of international wrongful act -lrb- permanent court of",0.0031,,,,recycling,recycling,TRUE
A new aluminum can made from used cans is an example of,recycling,new aluminum,used waste and materials | waste paper | existing and proven technologies | v http://pinterest.com/pin/488359153317463714/ | mortgage debt | a product | single - source waste materials | vehicles ' tires -lrb- british english tyres -rrb- that are no longer suitable for use on vehicles due to wear or ... | new products | this bulky item | materials that would otherwise be thrown away as trash and turning them into new | scrap or waste plastic,0.1952,,"into a new product | a mix of infrastructure and lack of | for reuse , resulting in a change of the | long distances to market | pkc activity | switching of ptdins-ptdins -lrb- 4 -rrb- p-ptdins -lrb- 4,5 -rrb- p2 | into something very different from the original products | erosion and re-sedimentation | which | into the pbl and cycled back into precipitation downwind of | this system | the gradual accumulation of limiters in the recycled water , which are salt compounds such as | xcrit | their water supplies from rivers that receive wastewater | from bottom sediment under low oxygen conditions | for the papers in | with exogenous la and pol iii -lrb- maraia 1996 -rrb- | and take reusable materials to places where they can be remade into either the same product or new products , | , transported as dehydroascorbic acid , and reduced intracellularly to ascorbate | they | separation of the gases | insufficient legislation support | from tissues -lrb- usually during senescence , prior to abscission -rrb- for storage | properly | double-bagging shreds | into new products | a certain luminal -lsb- cl - -rsb- | an impairment of the dspc-pa | into the environment by animals or microbial consumers | the consumption",,made,collecting | right | trend | recycling | turned | total | placing | better | dismantling | split | utilizing | repurposed | turning | replacing | standard | law | recovering | taking | converted | processed | making,1.0000,cans,"protect our local environment by reducing landfill | save energy , which can in turn help reduce our dependence on foreign oil | a new product | minimize or completely avoid sending waste to landfill or incinerator | take an item that has served its intended purpose and in some manner add | a decrease | save energy , which can then be used for something else | a raw material , which can be used for making new things | protect the environment | several important negative externalities in the us economy . | it 's own set of pollutants | conserve energy , help the environment , reduce pollution , slow global warming and reduce waste products in landfills | recover the largest possible amount of valuable secondary raw materials | reduce energy usage | avoid contaminating our environment | reduce the pollution caused by the extraction and processing of virgin materials | preserve the earth 's natural resources | reduce how much waste will be deposited in landfills | a significant inhibition of the rate of development of agonist-induced dvsm contractions . | to optimize the value of the products , particularly the natural component that forms the substance . | maintain the earth for future generations | 60s | sustain our environment for future generations | an increase of the membrane surface , indicating that the pool of vesicle membranes is fused with the ... | make the world a cleaner and more sustainable place both now and for our future | save money recycling | reduce the pollution caused by waste | around the house . | new products | protect earth | explain why changing scrap metal prices | save nature + earth + natural environment | preserve our environment | pollution -lrb- transporting the recyclables and reprocessing them generally is n't clean -rrb- | conserve the world 's supply | conserve the earth 's resources for future generations | keep our planet clean and green | conserve energy , help the environment , reduce pollution , slow global warming and reduce waste products in | produce new high quality material from waste",1.0000,,the waste stream | wastewater treatment | existing products | waste |as recycling,,recycling,recycling,TRUE
